ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE FURTO;DIA DA SEMANA
465;PAROBE;645;SCHARLAU;2024;18/03/2024;22:00:00;SAO LEOPOLDO;PAROBE, 645, SCHARLAU, SAO LEOPOLDO;RESIDENCIA;segunda-feira
466;QUINZE DE NOVEMBRO;153;SANTOS DUMONT;2024;18/03/2024;03:00:00;SAO LEOPOLDO;QUINZE DE NOVEMBRO, 153, SANTOS DUMONT, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
467;ALAGOAS;385;SCHARLAU;2024;19/03/2024;20:30:00;SAO LEOPOLDO;ALAGOAS, 385, SCHARLAU, SAO LEOPOLDO;VEICULO;terça-feira
468;ALBINO KAMPF;144;RIO DOS SINOS;2024;19/03/2024;19:30:00;SAO LEOPOLDO;ALBINO KAMPF, 144, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;terça-feira
469;DOM JOAO BECKER;936;CENTRO;2024;19/03/2024;20:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 936, CENTRO, SAO LEOPOLDO;QUALIFICADO;terça-feira
470;ECA DE QUEIROS;343;CAMPINA;2024;19/03/2024;03:30:00;SAO LEOPOLDO;ECA DE QUEIROS, 343, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;terça-feira
471;GASPAR SILVEIRA MARTINS;428;SANTOS DUMONT;2024;19/03/2024;21:30:00;SAO LEOPOLDO;GASPAR SILVEIRA MARTINS, 428, SANTOS DUMONT, SAO LEOPOLDO;FIOS E CABOS;terça-feira
472;SAO BORJA;2181;FAZENDA SAO BORJA;2024;19/03/2024;14:00:00;SAO LEOPOLDO;SAO BORJA, 2181, FAZENDA SAO BORJA, SAO LEOPOLDO;QUALIFICADO;terça-feira
473;SENADOR SALGADO FILHO;4302;SCHARLAU;2024;19/03/2024;03:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 4302, SCHARLAU, SAO LEOPOLDO;COMERCIO;terça-feira
474;APARICIO BRITO;100;FEITORIA;2024;20/03/2024;05:30:00;SAO LEOPOLDO;APARICIO BRITO, 100, FEITORIA, SAO LEOPOLDO;ARROMBAMENTO;quarta-feira
475;GETULIO VARGAS;2040;SAO JOAO BATISTA;2024;20/03/2024;12:00:00;SAO LEOPOLDO;GETULIO VARGAS, 2040, SAO JOAO BATISTA, SAO LEOPOLDO;SIMPLES;quarta-feira
476;JOAO ALBERTO;427;FIAO;2024;20/03/2024;00:30:00;SAO LEOPOLDO;JOAO ALBERTO, 427, FIAO, SAO LEOPOLDO;FIOS E CABOS;quarta-feira
477;PIO XI;180;SCHARLAU;2024;20/03/2024;15:30:00;SAO LEOPOLDO;PIO XI, 180, SCHARLAU, SAO LEOPOLDO;SIMPLES;quarta-feira
478;WILSOM FELIX VIEIRA;54;FEITORIA;2024;20/03/2024;09:00:00;SAO LEOPOLDO;WILSOM FELIX VIEIRA, 54, FEITORIA, SAO LEOPOLDO;RESIDENCIA;quarta-feira
479;AIMORE;362;CAMPINA;2024;21/03/2024;23:00:00;SAO LEOPOLDO;AIMORE, 362, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
480;CORONEL ATALIBIO TAURINO DE REZENDE;1160;RIO DOS SINOS;2024;21/03/2024;17:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1160, RIO DOS SINOS, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
481;AFONSO PENA;118;SAO JOSE;2024;22/03/2024;12:00:00;SAO LEOPOLDO;AFONSO PENA, 118, SAO JOSE, SAO LEOPOLDO;VEICULO;sexta-feira
482;CARAMURU;578;CAMPINA;2024;22/03/2024;00:00:00;SAO LEOPOLDO;CARAMURU, 578, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
483;CORTE REAL;554;SCHARLAU;2024;22/03/2024;21:30:00;SAO LEOPOLDO;CORTE REAL, 554, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
484;IVOTI;200;CAMPINA;2024;22/03/2024;16:30:00;SAO LEOPOLDO;IVOTI, 200, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
485;LUIS CARLOS GEORG;26;FEITORIA;2024;22/03/2024;06:30:00;SAO LEOPOLDO;LUIS CARLOS GEORG, 26, FEITORIA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
486;SAO DOMINGOS;940;CENTRO;2024;22/03/2024;19:00:00;SAO LEOPOLDO;SAO DOMINGOS, 940, CENTRO, SAO LEOPOLDO;SIMPLES;sexta-feira
487;THOMAS EDSON;126;CAMPINA;2024;22/03/2024;14:30:00;SAO LEOPOLDO;THOMAS EDSON, 126, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
488;CAXIAS DO SUL;1309;RIO DOS SINOS;2024;23/03/2024;02:00:00;SAO LEOPOLDO;CAXIAS DO SUL, 1309, RIO DOS SINOS, SAO LEOPOLDO;SIMPLES;sábado
489;DO QUILOMBO;1699;CAMPESTRE;2024;23/03/2024;11:00:00;SAO LEOPOLDO;DO QUILOMBO, 1699, CAMPESTRE, SAO LEOPOLDO;RESIDENCIA;sábado
490;DOM JOAO BECKER;665;CENTRO;2024;23/03/2024;02:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 665, CENTRO, SAO LEOPOLDO;SIMPLES;sábado
491;EMILIO H DEXHEIMER;739;JARDIM AMERICA;2024;23/03/2024;14:00:00;SAO LEOPOLDO;EMILIO H DEXHEIMER, 739, JARDIM AMERICA, SAO LEOPOLDO;CELULAR;sábado
492;EUGENIO BERGER;730;SCHARLAU;2024;23/03/2024;04:00:00;SAO LEOPOLDO;EUGENIO BERGER, 730, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;sábado
493;INTEGRACAO;1415;FEITORIA;2024;23/03/2024;05:00:00;SAO LEOPOLDO;INTEGRACAO, 1415, FEITORIA, SAO LEOPOLDO;QUALIFICADO;sábado
494;LIBORIO MULER;162;SANTOS DUMONT;2024;23/03/2024;00:00:00;SAO LEOPOLDO;LIBORIO MULER, 162, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;sábado
495;NAO INFORMADO;0;CENTRO;2024;23/03/2024;06:30:00;SAO LEOPOLDO;NAO INFORMADO, 0, CENTRO, SAO LEOPOLDO;VEICULO;sábado
496;RAYMUNDO G ECKERT;15;SANTOS DUMONT;2024;23/03/2024;04:30:00;SAO LEOPOLDO;RAYMUNDO G ECKERT, 15, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;sábado
497;6;180;ARROIO DA MANTEIGA;2024;24/03/2024;15:00:00;SAO LEOPOLDO;6, 180, ARROIO DA MANTEIGA, SAO LEOPOLDO;RESIDENCIA;domingo
498;BENTO GONCALVES;1171;CENTRO;2024;24/03/2024;01:30:00;SAO LEOPOLDO;BENTO GONCALVES, 1171, CENTRO, SAO LEOPOLDO;CELULAR;domingo
499;PIRATINI;324;BOA VISTA;2024;24/03/2024;19:00:00;SAO LEOPOLDO;PIRATINI, 324, BOA VISTA, SAO LEOPOLDO;RESIDENCIA;domingo
500;PRIMEIRO DE MARCO;957;CENTRO;2024;24/03/2024;23:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 957, CENTRO, SAO LEOPOLDO;ARROMBAMENTO;domingo
501;ALBINO TIMM;2001;FEITORIA;2024;25/03/2024;22:00:00;SAO LEOPOLDO;ALBINO TIMM, 2001, FEITORIA, SAO LEOPOLDO;ARROMBAMENTO;segunda-feira
502;MAUA;270;RIO DOS SINOS;2024;25/03/2024;10:00:00;SAO LEOPOLDO;MAUA, 270, RIO DOS SINOS, SAO LEOPOLDO;SIMPLES;segunda-feira
503;MAUA;0;RIO DOS SINOS;2024;25/03/2024;09:30:00;SAO LEOPOLDO;MAUA, 0, RIO DOS SINOS, SAO LEOPOLDO;ARROMBAMENTO;segunda-feira
504;NAO INFORMADO;0;FAZENDA SAO BORJA;2024;25/03/2024;12:30:00;SAO LEOPOLDO;NAO INFORMADO, 0, FAZENDA SAO BORJA, SAO LEOPOLDO;VEICULO;segunda-feira
505;PRIMEIRO DE MARCO;821;CENTRO;2024;25/03/2024;08:00:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 821, CENTRO, SAO LEOPOLDO;QUALIFICADO;segunda-feira
506;UNISINOS;950;CRISTO REI;2024;25/03/2024;13:30:00;SAO LEOPOLDO;UNISINOS, 950, CRISTO REI, SAO LEOPOLDO;VEICULO;segunda-feira
507;CENTRAL;82;BOA VISTA;2024;26/03/2024;17:30:00;SAO LEOPOLDO;CENTRAL, 82, BOA VISTA, SAO LEOPOLDO;SIMPLES;terça-feira
508;JOSE BONIFACIO;910;CENTRO;2024;26/03/2024;00:00:00;SAO LEOPOLDO;JOSE BONIFACIO, 910, CENTRO, SAO LEOPOLDO;FIOS E CABOS;terça-feira
509;LINDOLFO COLLOR;700;CENTRO;2024;26/03/2024;17:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 700, CENTRO, SAO LEOPOLDO;SIMPLES;terça-feira
510;MUNIQUE;181;FEITORIA;2024;26/03/2024;13:30:00;SAO LEOPOLDO;MUNIQUE, 181, FEITORIA, SAO LEOPOLDO;SIMPLES;terça-feira
511;ONZE;130;ARROIO DA MANTEIGA;2024;26/03/2024;05:30:00;SAO LEOPOLDO;ONZE, 130, ARROIO DA MANTEIGA, SAO LEOPOLDO;FIOS E CABOS;terça-feira
512;THEODOMIRO PORTO DA FONSECA;2120;PADRE REUS;2024;26/03/2024;14:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 2120, PADRE REUS, SAO LEOPOLDO;SIMPLES;terça-feira
513;UNISINOS;1277;CRISTO REI;2024;26/03/2024;20:00:00;SAO LEOPOLDO;UNISINOS, 1277, CRISTO REI, SAO LEOPOLDO;VEICULO;terça-feira
514;UNISINOS;950;CRISTO REI;2024;26/03/2024;16:30:00;SAO LEOPOLDO;UNISINOS, 950, CRISTO REI, SAO LEOPOLDO;VEICULO;terça-feira
515;ANITA GARIBALDI;40;CAMPINA;2024;27/03/2024;15:00:00;SAO LEOPOLDO;ANITA GARIBALDI, 40, CAMPINA, SAO LEOPOLDO;QUALIFICADO;quarta-feira
516;BELA VISTA;74;FIAO;2024;27/03/2024;22:00:00;SAO LEOPOLDO;BELA VISTA, 74, FIAO, SAO LEOPOLDO;QUALIFICADO;quarta-feira
517;DOUTOR HILLEBRAND;1145;RIO DOS SINOS;2024;27/03/2024;10:00:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 1145, RIO DOS SINOS, SAO LEOPOLDO;RESIDENCIA;quarta-feira
518;EVA MOREIRA DOS SANTOS;48;ARROIO DA MANTEIGA;2024;27/03/2024;07:00:00;SAO LEOPOLDO;EVA MOREIRA DOS SANTOS, 48, ARROIO DA MANTEIGA, SAO LEOPOLDO;CELULAR;quarta-feira
519;IMPERATRIZ LEOPOLDINA;1600;PINHEIRO;2024;27/03/2024;13:30:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 1600, PINHEIRO, SAO LEOPOLDO;QUALIFICADO;quarta-feira
520;MARQUES DO HERVAL;715;CENTRO;2024;27/03/2024;18:00:00;SAO LEOPOLDO;MARQUES DO HERVAL, 715, CENTRO, SAO LEOPOLDO;FIOS E CABOS;quarta-feira
521;MAUA;2035;SANTOS DUMONT;2024;27/03/2024;18:00:00;SAO LEOPOLDO;MAUA, 2035, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;quarta-feira
522;THOMAS EDSON;2681;SCHARLAU;2024;27/03/2024;16:00:00;SAO LEOPOLDO;THOMAS EDSON, 2681, SCHARLAU, SAO LEOPOLDO;VEICULO;quarta-feira
523;THOMAS EDSON;2744;SCHARLAU;2024;27/03/2024;13:30:00;SAO LEOPOLDO;THOMAS EDSON, 2744, SCHARLAU, SAO LEOPOLDO;VEICULO;quarta-feira
524;DOM JOAO BECKER;170;CENTRO;2024;28/03/2024;18:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 170, CENTRO, SAO LEOPOLDO;QUALIFICADO;quinta-feira
525;FERNANDO A VILLAMIL;86;FEITORIA;2024;28/03/2024;02:30:00;SAO LEOPOLDO;FERNANDO A VILLAMIL, 86, FEITORIA, SAO LEOPOLDO;QUALIFICADO;quinta-feira
526;MARIA LINCK;210;VICENTINA;2024;28/03/2024;14:00:00;SAO LEOPOLDO;MARIA LINCK, 210, VICENTINA, SAO LEOPOLDO;RESIDENCIA;quinta-feira
527;SANTA CRUZ;101;CAMPESTRE;2024;28/03/2024;03:00:00;SAO LEOPOLDO;SANTA CRUZ, 101, CAMPESTRE, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
528;THOMAS EDSON;5175;SAO MIGUEL;2024;28/03/2024;10:00:00;SAO LEOPOLDO;THOMAS EDSON, 5175, SAO MIGUEL, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
529;BR 116;0;CENTRO;2024;29/03/2024;04:00:00;SAO LEOPOLDO;BR 116, 0, CENTRO, SAO LEOPOLDO;QUALIFICADO;sexta-feira
530;IMPERATRIZ LEOPOLDINA;45;SAO JOSE;2024;29/03/2024;04:00:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 45, SAO JOSE, SAO LEOPOLDO;QUALIFICADO;sexta-feira
531;PADRE JOAO FLACH;231;SAO JOSE;2024;29/03/2024;19:30:00;SAO LEOPOLDO;PADRE JOAO FLACH, 231, SAO JOSE, SAO LEOPOLDO;QUALIFICADO;sexta-feira
532;PRACA TIRADENTES;38;CENTRO;2024;29/03/2024;20:30:00;SAO LEOPOLDO;PRACA TIRADENTES, 38, CENTRO, SAO LEOPOLDO;QUALIFICADO;sexta-feira
533;THEODOMIRO PORTO DA FONSECA;539;FIAO;2024;29/03/2024;07:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 539, FIAO, SAO LEOPOLDO;VEICULO;sexta-feira
534;GUARUJA;93;FEITORIA;2024;30/03/2024;10:00:00;SAO LEOPOLDO;GUARUJA, 93, FEITORIA, SAO LEOPOLDO;CELULAR;sábado
535;IPE ROXO;295;SANTOS DUMONT;2024;30/03/2024;04:30:00;SAO LEOPOLDO;IPE ROXO, 295, SANTOS DUMONT, SAO LEOPOLDO;RESIDENCIA;sábado
536;PRIMEIRO DE MARCO;856;CENTRO;2024;30/03/2024;11:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 856, CENTRO, SAO LEOPOLDO;COMERCIO;sábado
537;THEODOMIRO PORTO DA FONSECA;907;FIAO;2024;30/03/2024;13:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 907, FIAO, SAO LEOPOLDO;VEICULO;sábado
538;THEODOMIRO PORTO DA FONSECA;799;FIAO;2024;30/03/2024;11:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 799, FIAO, SAO LEOPOLDO;VEICULO;sábado
539;THEODOMIRO PORTO DA FONSECA;799;FIAO;2024;30/03/2024;11:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 799, FIAO, SAO LEOPOLDO;VEICULO;sábado
540;THOMAS EDSON;2598;VICENTINA;2024;30/03/2024;18:30:00;SAO LEOPOLDO;THOMAS EDSON, 2598, VICENTINA, SAO LEOPOLDO;SIMPLES;sábado
541;INDEPENDENCIA;1196;CENTRO;2024;31/03/2024;04:00:00;SAO LEOPOLDO;INDEPENDENCIA, 1196, CENTRO, SAO LEOPOLDO;SIMPLES;domingo
542;SENADOR SALGADO FILHO;2470;SCHARLAU;2024;31/03/2024;21:30:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 2470, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;domingo
543;THOMAS EDSON;SN;SAO MIGUEL;2024;31/03/2024;02:30:00;SAO LEOPOLDO;THOMAS EDSON, SN, SAO MIGUEL, SAO LEOPOLDO;SIMPLES;domingo
544;BARRETO VIANA;506;ARROIO DA MANTEIGA;2024;01/04/2024;16:30:00;SAO LEOPOLDO;BARRETO VIANA, 506, ARROIO DA MANTEIGA, SAO LEOPOLDO;ARROMBAMENTO;segunda-feira
545;DAS CAMELIAS;675;PINHEIRO;2024;01/04/2024;03:00:00;SAO LEOPOLDO;DAS CAMELIAS, 675, PINHEIRO, SAO LEOPOLDO;QUALIFICADO;segunda-feira
546;DAS CAMELIAS;675;PINHEIRO;2024;01/04/2024;03:00:00;SAO LEOPOLDO;DAS CAMELIAS, 675, PINHEIRO, SAO LEOPOLDO;QUALIFICADO;segunda-feira
547;ERNESTO SILVA;100;MORRO DO ESPELHO;2024;01/04/2024;00:30:00;SAO LEOPOLDO;ERNESTO SILVA, 100, MORRO DO ESPELHO, SAO LEOPOLDO;RESIDENCIA;segunda-feira
548;JOSE BONIFACIO;1086;CENTRO;2024;01/04/2024;08:00:00;SAO LEOPOLDO;JOSE BONIFACIO, 1086, CENTRO, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
549;LINDOLFO COLLOR;107;CENTRO;2024;01/04/2024;01:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 107, CENTRO, SAO LEOPOLDO;COMERCIO;segunda-feira
550;CEREJEIRAS VERMELHA;60;SANTOS DUMONT;2024;02/04/2024;15:30:00;SAO LEOPOLDO;CEREJEIRAS VERMELHA, 60, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;terça-feira
551;CEU AZUL;201;ARROIO DA MANTEIGA;2024;02/04/2024;16:00:00;SAO LEOPOLDO;CEU AZUL, 201, ARROIO DA MANTEIGA, SAO LEOPOLDO;QUALIFICADO;terça-feira
552;DOS PAMPAS;539;SCHARLAU;2024;02/04/2024;11:30:00;SAO LEOPOLDO;DOS PAMPAS, 539, SCHARLAU, SAO LEOPOLDO;RESIDENCIA;terça-feira
553;INDEPENDENCIA;110;CENTRO;2024;02/04/2024;15:30:00;SAO LEOPOLDO;INDEPENDENCIA, 110, CENTRO, SAO LEOPOLDO;CELULAR;terça-feira
554;JOAO CORREA;1380;CENTRO;2024;02/04/2024;09:30:00;SAO LEOPOLDO;JOAO CORREA, 1380, CENTRO, SAO LEOPOLDO;SIMPLES;terça-feira
555;PRESIDENTE LUCENA;1110;SCHARLAU;2024;02/04/2024;15:00:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 1110, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;terça-feira
556;PRIMEIRO DE MARCO;1109;CENTRO;2024;02/04/2024;02:00:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 1109, CENTRO, SAO LEOPOLDO;RESIDENCIA;terça-feira
557;AFONSO PENA;118;SAO JOSE;2024;03/04/2024;01:00:00;SAO LEOPOLDO;AFONSO PENA, 118, SAO JOSE, SAO LEOPOLDO;SIMPLES;quarta-feira
558;CARLOS BARBOSA;2650;SANTOS DUMONT;2024;03/04/2024;12:00:00;SAO LEOPOLDO;CARLOS BARBOSA, 2650, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;quarta-feira
559;CEL ANTONIO FERNANDES PACILHA;60;ARROIO DA MANTEIGA;2024;03/04/2024;11:00:00;SAO LEOPOLDO;CEL ANTONIO FERNANDES PACILHA, 60, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;quarta-feira
560;QUATORZE BIS;611;SANTOS DUMONT;2024;03/04/2024;08:30:00;SAO LEOPOLDO;QUATORZE BIS, 611, SANTOS DUMONT, SAO LEOPOLDO;RESIDENCIA;quarta-feira
561;BRASIL;506;CENTRO;2024;04/04/2024;20:00:00;SAO LEOPOLDO;BRASIL, 506, CENTRO, SAO LEOPOLDO;SIMPLES;quinta-feira
562;DIENSTMANN;327;RIO DOS SINOS;2024;04/04/2024;01:00:00;SAO LEOPOLDO;DIENSTMANN, 327, RIO DOS SINOS, SAO LEOPOLDO;RESIDENCIA;quinta-feira
563;SAO FRANCISCO;638;DUQUE DE CAXIAS;2024;04/04/2024;18:00:00;SAO LEOPOLDO;SAO FRANCISCO, 638, DUQUE DE CAXIAS, SAO LEOPOLDO;SIMPLES;quinta-feira
564;BOM FIM;853;SANTOS DUMONT;2024;05/04/2024;11:00:00;SAO LEOPOLDO;BOM FIM, 853, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;sexta-feira
565;CABO CARNEIRO;41;VICENTINA;2024;05/04/2024;13:30:00;SAO LEOPOLDO;CABO CARNEIRO, 41, VICENTINA, SAO LEOPOLDO;SIMPLES;sexta-feira
566;CARAMURU;658;CAMPINA;2024;05/04/2024;11:30:00;SAO LEOPOLDO;CARAMURU, 658, CAMPINA, SAO LEOPOLDO;VEICULO;sexta-feira
567;CLEMENTE JOSE BARREIRO;47;MORRO DO ESPELHO;2024;05/04/2024;01:00:00;SAO LEOPOLDO;CLEMENTE JOSE BARREIRO, 47, MORRO DO ESPELHO, SAO LEOPOLDO;QUALIFICADO;sexta-feira
568;DOZE;114;FAZENDA SAO BORJA;2024;05/04/2024;10:00:00;SAO LEOPOLDO;DOZE, 114, FAZENDA SAO BORJA, SAO LEOPOLDO;RESIDENCIA;sexta-feira
569;WILHELM ROTERMUND;20;MORRO DO ESPELHO;2024;05/04/2024;10:00:00;SAO LEOPOLDO;WILHELM ROTERMUND, 20, MORRO DO ESPELHO, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
570;PAROBE;464;SCHARLAU;2024;06/04/2024;10:00:00;SAO LEOPOLDO;PAROBE, 464, SCHARLAU, SAO LEOPOLDO;SIMPLES;sábado
571;PAULO FRANCISCO DE SOUZA;78;FEITORIA;2024;06/04/2024;18:00:00;SAO LEOPOLDO;PAULO FRANCISCO DE SOUZA, 78, FEITORIA, SAO LEOPOLDO;CELULAR;sábado
572;BELEM;358;SCHARLAU;2024;07/04/2024;20:00:00;SAO LEOPOLDO;BELEM, 358, SCHARLAU, SAO LEOPOLDO;QUALIFICADO;domingo
573;PRIMEIRO DE MARCO;263;CENTRO;2024;07/04/2024;16:00:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 263, CENTRO, SAO LEOPOLDO;SIMPLES;domingo
574;SAO FRANCISCO DE PAULA;0;CAMPINA;2024;07/04/2024;04:00:00;SAO LEOPOLDO;SAO FRANCISCO DE PAULA, 0, CAMPINA, SAO LEOPOLDO;CELULAR;domingo
575;BENTO GONCALVES;428;CENTRO;2024;08/04/2024;11:00:00;SAO LEOPOLDO;BENTO GONCALVES, 428, CENTRO, SAO LEOPOLDO;CELULAR;segunda-feira
576;FEITORIA;4735;FEITORIA;2024;08/04/2024;13:30:00;SAO LEOPOLDO;FEITORIA, 4735, FEITORIA, SAO LEOPOLDO;SIMPLES;segunda-feira
577;FLORES DA CUNHA;249;CENTRO;2024;08/04/2024;23:30:00;SAO LEOPOLDO;FLORES DA CUNHA, 249, CENTRO, SAO LEOPOLDO;SIMPLES;segunda-feira
578;JOAO CORREA;997;CENTRO;2024;08/04/2024;15:00:00;SAO LEOPOLDO;JOAO CORREA, 997, CENTRO, SAO LEOPOLDO;CELULAR;segunda-feira
579;JOAO CORREA;997;CENTRO;2024;08/04/2024;12:00:00;SAO LEOPOLDO;JOAO CORREA, 997, CENTRO, SAO LEOPOLDO;CELULAR;segunda-feira
580;MANOEL JOSE BRAS;0;SANTOS DUMONT;2024;08/04/2024;11:00:00;SAO LEOPOLDO;MANOEL JOSE BRAS, 0, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;segunda-feira
581;MARIA QUITERIA DE JESUS;156;SANTOS DUMONT;2024;08/04/2024;19:00:00;SAO LEOPOLDO;MARIA QUITERIA DE JESUS, 156, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;segunda-feira
582;PRIMEIRO DE MARCO;821;CENTRO;2024;08/04/2024;20:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 821, CENTRO, SAO LEOPOLDO;SIMPLES;segunda-feira
583;PRIMEIRO DE MARCO;821;CENTRO;2024;08/04/2024;13:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 821, CENTRO, SAO LEOPOLDO;SIMPLES;segunda-feira
584;PRIMEIRO DE MARCO;517;CENTRO;2024;08/04/2024;11:30:00;SAO LEOPOLDO;PRIMEIRO DE MARCO, 517, CENTRO, SAO LEOPOLDO;SIMPLES;segunda-feira
585;SAO PEDRO;660;CENTRO;2024;08/04/2024;03:00:00;SAO LEOPOLDO;SAO PEDRO, 660, CENTRO, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
586;CAJU;60;SCHARLAU;2024;09/04/2024;19:30:00;SAO LEOPOLDO;CAJU, 60, SCHARLAU, SAO LEOPOLDO;VEICULO;terça-feira
587;CAPITAO FRANCISCO CEZAR NASCIMENTO;124;VICENTINA;2024;09/04/2024;01:00:00;SAO LEOPOLDO;CAPITAO FRANCISCO CEZAR NASCIMENTO, 124, VICENTINA, SAO LEOPOLDO;VEICULO;terça-feira
588;PADRE LUIS GONZAGA JAEGER;455;CRISTO REI;2024;09/04/2024;10:00:00;SAO LEOPOLDO;PADRE LUIS GONZAGA JAEGER, 455, CRISTO REI, SAO LEOPOLDO;FIOS E CABOS;terça-feira
589;SAO PEDRO;945;CENTRO;2024;09/04/2024;01:30:00;SAO LEOPOLDO;SAO PEDRO, 945, CENTRO, SAO LEOPOLDO;FIOS E CABOS;terça-feira
590;FEITORIA;60;SAO JOSE;2024;10/04/2024;21:30:00;SAO LEOPOLDO;FEITORIA, 60, SAO JOSE, SAO LEOPOLDO;FIOS E CABOS;quarta-feira
591;INDEPENDENCIA;937;CENTRO;2024;10/04/2024;13:30:00;SAO LEOPOLDO;INDEPENDENCIA, 937, CENTRO, SAO LEOPOLDO;QUALIFICADO;quarta-feira
592;JOAO CAFE FILHO;5;CAMPESTRE;2024;10/04/2024;11:00:00;SAO LEOPOLDO;JOAO CAFE FILHO, 5, CAMPESTRE, SAO LEOPOLDO;SIMPLES;quarta-feira
593;PADRE PEDRO ERNESTO HAESER SJ;555;CRISTO REI;2024;11/04/2024;15:00:00;SAO LEOPOLDO;PADRE PEDRO ERNESTO HAESER SJ, 555, CRISTO REI, SAO LEOPOLDO;QUALIFICADO;quinta-feira
594;THOMAS EDSON;2495;SCHARLAU;2024;11/04/2024;10:00:00;SAO LEOPOLDO;THOMAS EDSON, 2495, SCHARLAU, SAO LEOPOLDO;SIMPLES;quinta-feira
595;DOUTOR HILLEBRAND;923;RIO DOS SINOS;2024;12/04/2024;22:00:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 923, RIO DOS SINOS, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
596;GILDO DE FREITAS;300;FEITORIA;2024;12/04/2024;01:30:00;SAO LEOPOLDO;GILDO DE FREITAS, 300, FEITORIA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
597;NOVE;181;ARROIO DA MANTEIGA;2024;12/04/2024;19:30:00;SAO LEOPOLDO;NOVE, 181, ARROIO DA MANTEIGA, SAO LEOPOLDO;RESIDENCIA;sexta-feira
598;PRESIDENTE ROOSELVET;68;CENTRO;2024;12/04/2024;14:00:00;SAO LEOPOLDO;PRESIDENTE ROOSELVET, 68, CENTRO, SAO LEOPOLDO;QUALIFICADO;sexta-feira
599;PRESIDENTE ROOSEVELT;68;CENTRO;2024;12/04/2024;11:00:00;SAO LEOPOLDO;PRESIDENTE ROOSEVELT, 68, CENTRO, SAO LEOPOLDO;QUALIFICADO;sexta-feira
600;PRESIDENTE ROOSEVELT;416;CENTRO;2024;12/04/2024;16:00:00;SAO LEOPOLDO;PRESIDENTE ROOSEVELT, 416, CENTRO, SAO LEOPOLDO;SIMPLES;sexta-feira
